row_num,description,category,size,type
2,Bulk agree option for annotation,UI/UX,S,feature
3,UI for faster verification,UI/UX,M,improvement
4,Filtering by what has been vetted,UI/UX,S,feature
5,Automatically hide vetted items as user proceeds,UI/UX,S,feature
6,Filtering by species/genus/taco level with children levels (already in place),UI/UX,XS,documentation
7,Implement date filtering,UI/UX,S,feature
8,Determine where users can type in a species name for search/filtering,UI/UX,S,design
9,Interface for managing species,Taxonomy,M,feature
10,Implement Global lists vs. Project lists for species,Taxonomy,L,feature
11,Mapping species from classifier output to custom lists,Taxonomy,M,feature
12,Display species lists known by each model,ML/AI,S,feature
13,Add a field to the taxa DB for unidentifiable by image alone with relation to similar taxa,Taxonomy,S,feature
14,Implement more algorithms and a better worker system,Infrastructure,XL,feature
15,Implement Optimizations for speed (MVP feature),Infrastructure,L,improvement
16,Implement querying images for inference from ADC API and POSTing results back,Export/Interop,L,feature
17,Plan for an R package to interface the API for plots stats etc.,Export/Interop,XL,feature
18,Implement connection to GBIF (MVP feature),Export/Interop,M,feature
19,Develop a Data connector app (MVP feature),Data-Management,L,feature
20,Collaborate on data uploader and image database,Data-Management,L,feature
21,Implement same data process for acoustic recordings,Data-Management,XL,research
22,Add processing support for project data,Data-Management,M,feature
23,Clarify/flesh out what processing means when a collection is launched,Documentation,S,documentation
24,Clarify if collections should be defined inside or outside the job (design question),Data-Management,S,design
25,Define if collections are reusable (design question),Data-Management,S,design
26,Define if collections are absolutely needed or more like job settings (design question),Data-Management,S,design
27,Display user's seen occurrences in My Antenna,UI/UX,S,feature
28,Display projects user is part of/manager of in My Antenna,UI/UX,S,feature
29,Display user's focused species in My Antenna,UI/UX,S,feature
30,Expose more details about each pipeline (ID URL version) in customizable pipelines feature,ML/AI,S,feature
31,Add active/inactive field for pipelines show inactive pipelines below and make them unselectable for new data processing,ML/AI,S,feature
32,Make Access Key for pipelines visible (not a password field),ML/AI,XS,improvement
33,Implement Private projects (MVP feature),Permissions/Auth,M,feature
34,Get contribution agreements in writing,Community,M,documentation
35,Define how credit will be given,Community,S,documentation
36,Use modularity to help divide ownership,Infrastructure,M,design
37,Decide on the platform name,Community,XS,design
38,Ensure platform interoperability trap agnostic and modular design,Infrastructure,L,design
39,Define validation protocol to reach research-grade,Data-Management,M,design
40,Use iNaturalist (for validation/privacy) and Creative Commons as benchmarks,Data-Management,S,research
41,Implement multi-level (Curator expert etc.) point-based validation/curation (eButterfly model),Permissions/Auth,L,feature
42,Need consumer service to scale up (Suggested: Rodrigo),Infrastructure,XL,research
43,Obfuscating exact device location (Sensitive/Fuzzy privacy),Permissions/Auth,M,feature
44,Provide more guidance/documentation on collections (definition purpose how to use strategy),Documentation,S,documentation
45,Implement default or automatic collections,Data-Management,S,feature
46,Investigate/Implement containerisation for massively parallel (10000 core+) image processing,Infrastructure,XL,research
47,Online platform for ML-assisted monitoring of arthropods (Agile software pipeline new algorithms/research friendly/efficient UI),Community,XL,documentation
48,Implement sustainable business/partner model,Community,XL,research
49,Prioritize documentation for the verification process,Documentation,M,documentation
50,Not identifiable based on current image quick action,UI/UX,S,feature
51,Never identifiable based on image quick action,UI/UX,S,feature
52,I personally can not ID this quick action,UI/UX,S,feature
53,Incorrect (based on my knowledge) quick reaction,UI/UX,S,feature
54,Family/genus/tribe correct quick reaction,UI/UX,S,feature
55,Ability to validate both low-confidence and high-confidence predictions,UI/UX,S,feature
56,Provide a list of species to choose from for validation/annotation,UI/UX,S,feature
57,Record if the suggestion was manually typed or accepted from a proposition,Data-Management,XS,feature
58,Support experts in finding the correct species within the tool,UI/UX,M,feature
59,Consider mitigating psychological/positional bias in accepting proposed labels,UI/UX,M,design
60,Provide a mechanism for regional experts to flag instances for further investigation,UI/UX,S,feature
61,Model suggestions for impossible-to-ID species (confusion matrix) and handling of cryptic species split geographically,ML/AI,L,research
62,Distinguish between no more fine-grained labels available and need for more information to label prediction limitations,ML/AI,M,feature
63,Display Top 3 labels with confidence score/uncertainty measures,UI/UX,S,feature
64,Develop a formula to extract year (YEAR function) from the date in column A to fill column C (Example Row),Data-Management,XS,improvement
65,Filtering: Find a clear way to do it yet,UI/UX,M,design
66,Work on new uncertainty measurements,ML/AI,L,research
67,Implement Flatbug and AMBER models,ML/AI,M,feature
68,Experiment with multiple models (order-level classifier object detection/clustering),ML/AI,L,research
69,Display multiple labels in a suggest ID section for re-identification,UI/UX,S,feature
70,Clarify the term Collections with alternatives like Sample set Lists Datasets,Data-Management,XS,design
71,Define the Validation protocol and how to reach research-grade,Data-Management,M,design
72,Register existing projects and process 2 years of data (Next 6 months),Onboarding,XL,feature
73,Open to the public for read-only review (Next 6 months),Permissions/Auth,L,feature
74,Implement Better algorithms (MVP feature),ML/AI,L,feature
75,Exporting data (General Topic),Export/Interop,L,feature
76,User interface (General Topic),UI/UX,XL,improvement
77,ML backend (General Topic),ML/AI,XL,improvement
78,API (General Topic),Export/Interop,L,improvement
79,Functionality needs for specific projects (General Topic),Community,M,research
80,Assign and train a person at each partner org (Insectarium),Community,M,documentation
81,Support for Costa Rica and Singapore regions/models,ML/AI,L,feature
82,Use JASMIN for storage,Infrastructure,M,feature
83,Multiple projects & users,Permissions/Auth,L,feature
84,Registration & map of camera deployments (metadata),Data-Management,M,feature
85,Taxonomy API & shared database,Taxonomy,L,feature
86,Collaborative identification or validation,UI/UX,L,feature
87,ML processing done via web API support for any language or framework,ML/AI,M,feature
88,Manual image uploading from UI or background sync of large datasets,Data-Management,L,feature
89,Reprocessing of same objects,ML/AI,M,feature
90,Ability to share links to occurrences sessions or summaries,UI/UX,S,feature
91,Background job system logging per job,Infrastructure,M,feature
92,Model registry links to experiment details in WandB,ML/AI,M,feature
93,Quality control of every stage before & after processing,Data-Management,L,feature
